№,Вид транспортного средства,Тип объекта,Наименование остановки,Официальное наименование,Расположение,Маршруты,Координаты
129,Автобус,Остановка,ГРАЖДАНСКИЙ ПР. УГ. ПР. ЛУНАЧАРСКОГО,"ГРАЖДАНСКИЙ ПР. УГ. ПР. ЛУНАЧАРСКОГО [102, 103, 178, 93, 153]","Луначарского пр., Гражданский пр.","102, 153, 178, 272, 40","60.026171086113074,30.4096375"
130,Автобус,Остановка,ГРАЖДАНСКИЙ ПР. УГ. ПР. НЕПОКОРЁННЫХ,ГРАЖДАНСКИЙ ПР. УГ. ПР. НЕПОКОРЁННЫХ [40],"Гражданский пр., Непокоренных пр.","295, 40, 60","59.996797813158615,30.3815975"
131,Автобус,Остановка,ГРАЖДАНСКИЙ ПР. УГ. СЕВЕРНОГО ПР.,ГРАЖДАНСКИЙ ПР. УГ. СЕВЕРНОГО ПР. [40],"Северный проспект, Северная площадь","270, 40, 94","60.022932566719568,30.404192"
132,Автобус,Остановка,"ГРАЖДАНСКИЙ ПР.,90","ГРАЖДАНСКИЙ ПР.,90 [93, 102, 103, 153, 178]",Гражданский пр.,"102, 153, 177, 178, 206, 295, 60, 93","60.01718503447097,30.40205"
133,Автобус,Остановка,ГРУЗОВОЙ ПРОЕЗД,ГРУЗОВОЙ ПРОЕЗД,"Ул. Софийская, Складской пр-д","326, 96","59.842914431308344,30.4337997"
134,Автобус,Остановка,ГУСАРСКАЯ УЛ.,ГУСАРСКАЯ УЛ. [186],"Саперная ул., Огородная ул.","186, 252, 273, 376, 382","59.701116944269522,30.3964176"
135,Автобус,Остановка,"ДАЛЬНЕВОСТОЧНЫЙ ПР.,УГ. ПР. БОЛЬШЕВИКОВ","ДАЛЬНЕВОСТОЧНЫЙ ПР.,УГ. ПР. БОЛЬШЕВИКОВ [8]","Большевиков пр., Дальневосточный пр.","285, 4, 8","59.877031500599813,30.4793777"
136,Автобус,Остановка,ДАЛЬНЕВОСТОЧНЫЙ ПР.,"ДАЛЬНЕВОСТОЧНЫЙ ПР. [118, 140, 12]","Дальневосточный пр., ул. Новосёлов","118, 12, 285, 97","59.883677305774519,30.4687023"
137,Автобус,Остановка,"ДАЛЬНЕВОСТОЧНЫЙ ПР.,УГ. УЛ. ТЕЛЬМАНА","ДАЛЬНЕВОСТОЧНЫЙ ПР.,УГ. УЛ. ТЕЛЬМАНА [12]","Ул. Тельмана, Дальневосточный пр.","118, 12, 285, 97","59.890095638352953,30.4654675"
138,Автобус,Остановка,ДАЧНАЯ УЛ.,"ДАЧНАЯ УЛ. [145, 165]",Таллинское ш.,"145, 145Б, 147, 165, 245","59.768929032526827,30.1198883"
139,Автобус,Остановка,ДАЧНЫЙ ПР.,"ДАЧНЫЙ ПР. [130, 145]","Ветеранов пр., Дачный пр.","130, 145, 145Б, 203, 246","59.845316254198117,30.2509594"
140,Автобус,Остановка,ДВИНСКАЯ УЛ. 15,"ДВИНСКАЯ УЛ. 15 [22, 49, 65, 66, 70, 70, 71, 71]","Двинская ул., Шотландская ул.","22, 290, 35, 43, 49, 65, 66, 67, 70, 71","59.909072666560242,30.2421074"
141,Автобус,Остановка,ДВИНСКАЯ УЛ. 9,"ДВИНСКАЯ УЛ. 9 [22, 49, 65, 66, 70, 70, 71, 71]","Двинская ул., Виндавская ул.","22, 290, 35, 43, 49, 65, 66, 67, 70, 71","59.909038421764244,30.2487812"
142,Автобус,Остановка,"ДВОРЕЦ СПОРТИВНЫХ ИГР ""ЗЕНИТ""","ДВОРЕЦ СПОРТИВНЫХ ИГР ""ЗЕНИТ"" [178]",Бутлерова ул.,"178, 250, 61","60.00355283515151,30.3981056"
143,Автобус,Остановка,ДВОРЕЦ ТВОРЧЕСТВА ЮНЫХ,"ДВОРЕЦ ТВОРЧЕСТВА ЮНЫХ [7, 3, 27, 22, 24]","Невский пр., пл. Островского","181, 191, 22, 24, 27, 3, 7","59.933589719382574,30.3392773"
144,Автобус,Остановка,ДВОРЦОВАЯ НАБ.,"ДВОРЦОВАЯ НАБ. [7, 24]","Дворцовый проезд, Адмиралтейский проезд","10, 191, 24, 7","59.938770145175155,30.3113308"
145,Автобус,Остановка,ДЕГТЯРНАЯ УЛ.,ДЕГТЯРНАЯ УЛ. [15],"Ул. 8-я Советская, ул. Дегтярная",15,"59.936162925016141,30.3755207"
146,Автобус,Остановка,"ДЕР.НОВОСАРАТОВКА,166","ДЕР.НОВОСАРАТОВКА,166 [476]",,476,"59.842609044266098,30.5277596"
147,Автобус,Остановка,"ДЕР.НОВОСАРАТОВКА,40","ДЕР.НОВОСАРАТОВКА,40 [476]",КАД,476,"59.853954521459549,30.5052681"
148,Автобус,Остановка,"ДЕР.НОВОСАРАТОВКА,ПОКРОВСКАЯ ДОРОГА","ДЕР.НОВОСАРАТОВКА,ПОКРОВСКАЯ ДОРОГА [476]",,476,"59.847090060700282,30.5147762"
149,Автобус,Остановка,"ДЕР.НОВОСАРАТОВКА,ШКОЛА","ДЕР.НОВОСАРАТОВКА,ШКОЛА [476]",,476,"59.84389919965367,30.5235214"
150,Автобус,Остановка,ДЕР.ЩЕРБИНКА,ДЕР.ЩЕРБИНКА [476],,476,"59.788504516046032,30.682785"
151,Автобус,Остановка,ДЕТСКАЯ УЛ.,"ДЕТСКАЯ УЛ. [1, 7]","Большой пр. В.О., Детская ул.","1, 128, 262, 7","59.929702157807029,30.2511978"
152,Автобус,Остановка,УЛ. ГЕНЕРАЛА ХАЗОВА,УЛ. ГЕНЕРАЛА ХАЗОВА,Генерала Хазова ул.,"187, 342, 377","59.737176129409391,30.3937035"
153,Автобус,Остановка,ДНЕПРОПЕТРОВСКАЯ УЛ.,ДНЕПРОПЕТРОВСКАЯ УЛ.,"Днепропетровская ул., Прилукская ул.","74, 76","59.907702847170199,30.3555737"
154,Автобус,Остановка,ДНЕПРОПЕТРОВСКАЯ УЛ. 65,ДНЕПРОПЕТРОВСКАЯ УЛ. 65,"Днепропетровская ул., Курская ул.","74, 76","59.910271212167288,30.3572788"
155,Автобус,Остановка,ДОЛГООЗЕРНАЯ УЛ.,ДОЛГООЗЕРНАЯ УЛ. [127],"Комендантский пр., Долгоозёрная ул.","127, 127М, 135, 171, 85","60.017284020621588,30.2486172"
156,Автобус,Остановка,ДОРОГА В БУЯНИЦЫ,"ДОРОГА В БУЯНИЦЫ [487, 487, 487а]",Таллинское ш.,487,"59.559481112982688,29.1969376"
157,Автобус,Остановка,"ДОРОГА В ДЕР. ""РЫЖИКИ""","ДОРОГА В ДЕР. ""РЫЖИКИ"" [485]",Колтушское ш.,485,"59.904788368395451,30.6710606"
158,Автобус,Остановка,"ДОРОГА В ДЕР""ТРУДОВИК""","ДОРОГА В ДЕР""ТРУДОВИК"" [482, 482а, 482в, 487, 487]",Таллинское ш.,"482, 482В, 487","59.659937205330998,29.7514057"
159,Автобус,Остановка,ДОРОГА В НЕГОДИЦЫ,"ДОРОГА В НЕГОДИЦЫ [487, 487, 487а]",Таллинское ш.,487,"59.560256249782952,29.2242184"
160,Автобус,Остановка,"ДОРОГА В ПОС""КРАСНАЯ ЗВЕЗДА""","ДОРОГА В ПОС""КРАСНАЯ ЗВЕЗДА"" [476]",,476,"59.800689559134774,30.6382923"
161,Автобус,Остановка,ДОРОГА К ШКОЛЕ,ДОРОГА К ШКОЛЕ [476],,476,"59.807058647225034,30.6198177"
162,Автобус,Остановка,ДОРОГА НА ЕЛИЗАВЕТИНКУ,"ДОРОГА НА ЕЛИЗАВЕТИНКУ, ПО ТРЕБОВАНИЮ [555, 435]",,435,"60.181627580085333,30.1322346"
163,Автобус,Остановка,1-Й БАДАЕВСКИЙ ПРОЕЗД,1-Й БАДАЕВСКИЙ ПРОЕЗД,"Московское шоссе, 2-й Бадаевский проезд","179, 192, 196, 197, 197А, 388","59.803214666799697,30.3957653"
164,Автобус,Остановка,ДОРОГА НА КЕЛОЗИ,"ДОРОГА НА КЕЛОЗИ [484, 484б, 484шК.]",Таллинское ш.,484,"59.669209905000862,29.8232632"
165,Автобус,Остановка,ДОРОГА НА КИПЕНСКУЮ П/ФАБРИКУ,"ДОРОГА НА КИПЕНСКУЮ П/ФАБРИКУ [482, 482а, 482в]",Нарвское шоссе,"482, 482В, 484","59.671482842863149,29.8274498"
166,Автобус,Остановка,ГОФМЕЙСТЕРСКАЯ УЛ.,ГОФМЕЙСТЕРСКАЯ УЛ.,"Санкт-Петербургское шоссе, Гофмейстерская улица","103, 200, 201, 210, 329, 359","59.861853245328298,29.9909992"
167,Автобус,Остановка,ДОРОГА НА ПЕТРОВСКУЮ ДАЧУ,ДОРОГА НА ПЕТРОВСКУЮ ДАЧУ [476],,476,"59.797112854935655,30.6644077"
168,Автобус,Остановка,ЛЕНСОВЕТОВСКАЯ ДОРОГА,ЛЕНСОВЕТОВСКАЯ ДОРОГА,"Московское шоссе, Ленсоветовская дорога","179, 192, 196, 197, 388","59.769730291851396,30.4580345"
169,Автобус,Остановка,ДОРОГА НА ТУРУХТАННЫЕ ОСТРОВА,ДОРОГА НА ТУРУХТАННЫЕ ОСТРОВА [2],"Маршала Жукова пр., дор. На Турухтанные острова","111, 2","59.869534095782797,30.247818"
170,Автобус,Остановка,ДРЕЗДЕНСКАЯ УЛ.,"ДРЕЗДЕНСКАЯ УЛ. [40, 86]","Энгельса пр., Кубанская ул.","222, 40, 86","60.013594026116714,30.3237667"
171,Автобус,Остановка,"ПУЛКОВСКОЕ ШОССЕ, 9","ПУЛКОВСКОЕ ШОССЕ, 9",Пулковское ш.,"13, 13А, 141, 147, 150, 155, 187, 252, 299, 301, 39, 90","59.83441058559491,30.3218498"
172,Автобус,Остановка,ДУНАЙСКИЙ ПР.,ДУНАЙСКИЙ ПР.,"Малая Балканская ул., Дунайский пр.","157, 74","59.835701058703663,30.380003"
173,Автобус,Остановка,"ДУНАЙСКИЙ ПР., УГ. СОФИЙСКОЙ УЛ.","ДУНАЙСКИЙ ПР., УГ. СОФИЙСКОЙ УЛ.","Ул. Софийская, Дунайский пр.","197А, 326, 96","59.845913251852892,30.4309006"
174,Автобус,Остановка,ДУНАЙСКИЙ ПР.,ДУНАЙСКИЙ ПР.,"Ул. Бухарестская, Дунайский пр.","241, 56, 57","59.843024232706227,30.4091396"
175,Автобус,Остановка,"ДУНАЙСКИЙ ПР.,УГ. ПР. КОСМОНАВТОВ","ДУНАЙСКИЙ ПР.,УГ. ПР. КОСМОНАВТОВ","Дунайский пр., пр. Космонавтов","186, 342, 50","59.83244389076976,30.3603001"
176,Автобус,Остановка,ЕГИПЕТСКИЕ ВОРОТА,ЕГИПЕТСКИЕ ВОРОТА [187],"Октябрьский бульвар, Октябрьский бул.","187, 342","59.728672832946707,30.3954105"
177,Автобус,Остановка,"ЕРМАК,1","ЕРМАК,1 [476]",,476,"59.817798144713073,30.5974369"
178,Автобус,Остановка,"ЕРМАК,2","ЕРМАК,2 [476]",,476,"59.814793357371784,30.6035004"
179,Автобус,Остановка,Ж.Д. СТ. ЛИГОВО,Ж.Д. СТ. ЛИГОВО,"Народного ополчения пр., Авангардная ул.","111, 130, 163, 165, 2, 203, 260, 265, 297, 2А, 333, 87","59.824023201871654,30.1807518"
180,Автобус,Остановка,ПЛАТФОРМА НОВАЯ ОХТА,ПЛАТФОРМА НОВАЯ ОХТА,"Просвещения пр., Руставели ул.","121, 139, 93","60.032725642411016,30.431078"
181,Автобус,Остановка,Ж.Д. СТ. ПИСКАРЁВКА,"Ж.Д. СТ. ПИСКАРЁВКА [178, 102, 123, 133, 137, 33, 106, 107, 132, 136, 103]","Пискарёвский проспект, Куракина улица","102, 105, 106, 107, 123, 132, 133, 136, 137, 176, 183, 206, 230, 237, 249, 33","59.985214077797067,30.42626"
182,Автобус,Остановка,Ж.Д. СТ. ПР. СЛАВЫ,"Ж.Д. СТ. ПР. СЛАВЫ [72, 116]","Витебский пр., Альпийский пер.","116, 72","59.850531044356359,30.3635883"
183,Автобус,Остановка,Ж.Д. ПЛАТФОРМА СОСНОВАЯ ПОЛЯНА,Ж.Д. ПЛАТФОРМА СОСНОВАЯ ПОЛЯНА,"Пограничника Гарькавого ул., Народного ополчения пр.","130, 163, 203, 229, 333","59.825890835538964,30.146492"
184,Автобус,Остановка,Ж.Д. СТ. СТАРЫЙ ПЕТЕРГОФ,"Ж.Д. СТ. СТАРЫЙ ПЕТЕРГОФ [210, 356Б, 351, 356, 358, 359]","Ул. Гостилицкая, ул. Спортивная","204Э, 210, 352, 354, 356, 356Ш, 358, 359, 463, 463А, 489, 682, 683, 683А, 684, 685А, 686","59.879163512719309,29.862421"
185,Автобус,Остановка,"Ж.Д. СТ., ЛЕНИНСКИЙ ПР.","Ж.Д. СТ., ЛЕНИНСКИЙ ПР. [130, 114]","Ленинский пр., ЗСД","114, 130, 226, 239, 243, 246, 256, 26, 333","59.851786588881033,30.2894955"
186,Автобус,Остановка,ЖЕЛЕЗНОДОРОЖНЫЙ ПЕРЕЕЗД,"ЖЕЛЕЗНОДОРОЖНЫЙ ПЕРЕЕЗД [200, 200, 210, 229, 359, 210, 356Б, 187, 356]",Петергофское ш.,"103, 162, 200, 201, 210, 229, 329, 68А","59.849059321208841,30.1242466"
187,Автобус,Остановка,ЖЕЛЕЗНОДОРОЖНЫЙ ПР.,ЖЕЛЕЗНОДОРОЖНЫЙ ПР. [8],"Седова ул., Железнодорожный пр.","114, 116, 31, 8, 95","59.883221498766147,30.4248943"
188,Автобус,Остановка,РУСАНОВСКАЯ УЛ. (посадки нет),РУСАНОВСКАЯ УЛ. (посадки нет),Октябрьская наб.,"119, 285, 4, 8","59.862552824769331,30.4951077"
189,Автобус,Остановка,"ЗАВОД ""КРАСНЫЙ ВЫБОРЖЕЦ""","ЗАВОД ""КРАСНЫЙ ВЫБОРЖЕЦ"" [106, 107, 133]","Кондратьевский пр., Ватутина ул.","106, 107, 133, 176, 234, 28, 37","59.960451398912078,30.3769932"
190,Автобус,Остановка,НЕВСКИЙ ЗАВОД,НЕВСКИЙ ЗАВОД,"Седова ул., Автогенная ул.","253, 31, 58, 8","59.898523599361226,30.4062538"
191,Автобус,Остановка,ЗАГРЕБСКИЙ БУЛЬВАР,ЗАГРЕБСКИЙ БУЛЬВАР,"Ул. Малая Балканская, Загребcкий бульвар","157, 159, 326, 50, 54, 56, 74","59.827212535065598,30.4164791"
192,Автобус,Остановка,ЗАМШИНА УЛ. 62,"ЗАМШИНА УЛ. 62 [33, 107]","Замшина ул., Герасимовская ул.","107, 249, 33","59.980710664575817,30.4072723"
193,Автобус,Остановка,ЗАМШИНА УЛ. УГ. ПР. МЕЧНИКОВА,ЗАМШИНА УЛ. УГ. ПР. МЕЧНИКОВА,"Проспект Мечникова, Замшина улица","105, 106, 107, 123, 136, 137, 176, 230, 237, 249, 264, 33","59.985101329101646,30.4126816"
194,Автобус,Остановка,"ЗАНЕВСКИЙ ПР.,З2","ЗАНЕВСКИЙ ПР.,З2","Заневский пр., Республиканская ул.","183, 21, 24, 27, 295, 46","59.931365378119153,30.4256554"
195,Автобус,Остановка,ЗАПОРОЖСКАЯ УЛ. 23,ЗАПОРОЖСКАЯ УЛ. 23 [48],"КАД, Запорожская ул.",48,"59.850970147281416,30.4686642"
196,Автобус,Остановка,ЗАРЕЧНАЯ УЛ. 14,ЗАРЕЧНАЯ УЛ. 14 [20],"Ул. Заречная, ул. Набережная",20,"59.776968265280004,30.1461468"
197,Автобус,Остановка,ЗАРЕЧНАЯ УЛ. УГ. АННИНСКОГО ШОССЕ,ЗАРЕЧНАЯ УЛ. УГ. АННИНСКОГО ШОССЕ [20],,20,"59.779897393203669,30.1489201"
198,Автобус,Остановка,ЗАСТАВСКАЯ УЛ.,"ЗАСТАВСКАЯ УЛ. [3, 36, 50]","Московский пр., Заставская ул.","225, 226, 26, 281, 3, 50, 62, 64","59.889403491273519,30.3199539"
199,Автобус,Остановка,"ЗАХАРЖЕВСКАЯ УЛ., УГ. ПАВЛОВСКОГО ШОССЕ","ЗАХАРЖЕВСКАЯ УЛ., УГ. ПАВЛОВСКОГО ШОССЕ","Захаржевская ул., Павловское ш.","186, 273, 373, 376, 381, 382","59.708531709572803,30.4130287"
200,Автобус,Остановка,ЗАЯЧИЙ ПЕР.,ЗАЯЧИЙ ПЕР. [74],"Суворовский пр., Таврическая ул.","181, 46, 54, 74","59.941058992326994,30.3801937"
201,Автобус,Остановка,ЗВЕЗДНАЯ УЛ.,ЗВЕЗДНАЯ УЛ. [72],"Витебский пр., Звездная ул.","231, 63, 72","59.836559058357146,30.3705692"
202,Автобус,Остановка,ЗЕМЛЕДЕЛЬЧЕСКАЯ УЛ.,ЗЕМЛЕДЕЛЬЧЕСКАЯ УЛ. [86],"Большой Сампсониевский пр., Земледельческая ул.",86,"59.990051660025564,30.3328629"
